Date Time Inlet_Pressure Outlet_Pressure Confining_Pressure Temperature
17.11.2020 09:03:08 64.58 28.83 202.09 13.3
17.11.2020 09:04:08 64.42 29.01 202.09 13.3
17.11.2020 09:05:08 64.22 29.19 202.07 13.3
17.11.2020 09:06:08 64.01 29.37 202.07 13.3
17.11.2020 09:07:08 63.82 29.55 202.07 13.3
17.11.2020 09:08:08 63.66 29.71 202.06 13.3
17.11.2020 09:09:08 63.47 29.89 202.06 13.3
17.11.2020 09:10:08 63.31 30.06 202.06 13.3
17.11.2020 09:11:08 63.11 30.24 202.07 13.3
17.11.2020 09:12:08 62.92 30.4 202.07 13.3
17.11.2020 09:13:08 62.76 30.56 202.07 13.3
17.11.2020 09:14:08 62.62 30.72 202.06 13.3
17.11.2020 09:15:08 62.43 30.88 202.06 13.3
17.11.2020 09:16:08 62.28 31.04 202.07 13.3
17.11.2020 09:17:08 62.1 31.2 202.06 13.3
17.11.2020 09:18:08 61.92 31.36 202.06 13.3
17.11.2020 09:19:08 61.73 31.53 202.04 13.3
17.11.2020 09:20:08 61.62 31.66 202.04 13.3
17.11.2020 09:21:08 61.45 31.82 202.04 13.3
17.11.2020 09:22:08 61.27 31.97 202.04 13.3
17.11.2020 09:23:08 61.15 32.11 202.04 13.3
17.11.2020 09:24:08 60.98 32.27 202.03 13.3
17.11.2020 09:25:08 60.83 32.41 202.03 13.3
17.11.2020 09:26:08 60.66 32.56 202.04 13.3
17.11.2020 09:27:08 60.52 32.7 202.03 13.3
17.11.2020 09:28:08 60.38 32.83 202.03 13.3
17.11.2020 09:29:08 60.25 32.97 202.04 13.3
17.11.2020 09:30:08 60.1 33.12 202.03 13.3
